City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
448,pokhara,28.2333,83.9833,9.23,48,0,1.9,NP,1674067004
449,aurangabad,19.8833,75.3333,18.05,72,0,0.0,IN,1674066954
450,olenegorsk,68.15,33.3,-10.42,97,100,1.81,RU,1674067004
451,buraydah,26.326,43.975,11.25,45,69,2.72,SA,1674066870
452,dawlatabad,36.4141,64.9053,-4.17,88,100,1.16,AF,1674067005
453,tupik,54.4253,119.9327,-34.11,98,100,1.16,RU,1674067005
454,rawson,-43.3002,-65.1023,27.1,47,94,8.37,AR,1674067006
455,suez,29.9737,32.5263,15.39,50,0,2.93,EG,1674067006
456,the valley,18.217,-63.0578,27.28,69,20,2.06,AI,1674067007
457,motygino,58.1831,94.7592,-39.32,100,100,1.03,RU,1674067007
458,bubaque,11.2833,-15.8333,25.66,71,0,6.22,GW,1674067007
459,bafq,31.6128,55.4107,3.58,81,6,0.67,IR,1674067008
460,calbuco,-41.768,-73.1273,22.56,67,100,4.45,CL,1674067008
461,yamada,39.4667,141.95,-1.61,66,2,2.72,JP,1674067008
462,vega de alatorre,20.0333,-96.6333,27.53,65,4,5.26,MX,1674067009
463,burgeo,47.6167,-57.6152,2.42,97,100,3.72,CA,1674067009
464,walvis bay,-22.9575,14.5053,23.53,68,0,4.12,NA,1674067010
465,juneau,58.3019,-134.4197,3.45,97,75,3.6,US,1674067010
466,bukama,-9.2,25.85,20.38,96,61,0.46,CD,1674067011
467,trincomalee,8.5711,81.2335,26.02,59,56,6.2,LK,1674067011
468,amurzet,47.6967,131.0981,-18.83,98,100,4.11,RU,1674067011
469,wanning,18.8003,110.3967,16.07,82,99,4.54,CN,1674067012
470,kununurra,-15.7667,128.7333,25.99,94,100,1.54,AU,1674066976
471,salalah,17.0151,54.0924,24.05,69,0,1.03,OM,1674067012
472,otsuki,35.6,138.9333,2.1,95,96,0.57,JP,1674067013
473,ullapool,57.8987,-5.1604,-1.2,78,99,3.0,GB,1674067013
474,esmeraldas,-19.7625,-44.3139,33.06,66,3,1.46,BR,1674067014
475,general roca,-39.0333,-67.5833,31.46,28,0,5.76,AR,1674067014
476,esso,55.9333,158.7,-19.59,96,100,3.16,RU,1674067014
477,marshfield,44.6689,-90.1718,0.8,80,100,4.63,US,1674067015
478,matamoros,25.5333,-103.25,23.39,15,75,3.6,MX,1674067015
479,lulea,65.5842,22.1547,0.04,100,100,5.66,SE,1674067016
480,oranjestad,12.524,-70.027,29.97,62,40,9.26,AW,1674067016
481,barra do corda,-5.5,-45.25,26.83,82,86,0.47,BR,1674067016
482,kiruna,67.8557,20.2251,-8.49,93,100,0.51,SE,1674067017
483,khandyga,62.6667,135.6,-49.41,99,100,0.81,RU,1674067017
484,lata,40.1629,-8.3327,7.82,87,56,2.14,PT,1674067018
485,kilindoni,-7.9139,39.6668,27.31,75,84,5.43,TZ,1674067018
486,carahue,-38.7,-73.1667,27.35,28,53,3.84,CL,1674067018
487,bima,-8.4667,118.7167,24.38,93,93,0.3,ID,1674067019
488,saint anthony,45.0205,-93.218,1.18,81,100,3.6,US,1674067019
489,veraval,20.9,70.3667,19.79,46,0,3.17,IN,1674067020
490,new richmond,45.123,-92.5366,0.95,100,100,2.57,US,1674066908
491,bayshore gardens,27.4253,-82.5904,25.66,56,0,5.14,US,1674067020
492,sibolga,1.7427,98.7792,23.54,83,99,1.4,ID,1674067020
493,comodoro rivadavia,-45.8667,-67.5,25.92,47,20,5.14,AR,1674067021
494,cabo san lucas,22.8909,-109.9124,23.67,68,0,0.45,MX,1674066862
495,kidal,18.4411,1.4078,22.25,13,41,2.59,ML,1674067021
496,tigil,57.8,158.6667,-18.38,98,100,0.62,RU,1674066798
497,gazojak,41.1875,61.4036,-6.53,71,7,1.91,TM,1674067022
498,bandarbeyla,9.4942,50.8122,24.14,75,17,9.23,SO,1674067023
499,mbini,1.574,9.6134,26.79,79,100,1.71,GQ,1674067024
500,rotifunk,8.2333,-12.6833,25.74,70,1,3.32,SL,1674067025
501,athens,37.9795,23.7162,17.43,78,20,5.81,GR,1674066817
502,yingkou,40.6648,122.2283,-3.14,86,6,3.68,CN,1674067026
503,syasstroy,60.1367,32.5691,1.02,98,100,5.43,RU,1674067027
504,jerantut,3.936,102.3626,21.2,99,91,1.03,MY,1674067027
505,coquimbo,-29.9533,-71.3436,19.85,68,40,6.17,CL,1674066883
506,ponnani,10.767,75.9252,24.62,64,98,3.66,IN,1674067028
507,poronaysk,49.2167,143.1167,-26.33,93,16,2.21,RU,1674067028
508,rivadavia,-33.1905,-68.4608,30.06,38,4,4.39,AR,1674066866
509,ayakudi,10.45,77.55,18.42,81,79,2.35,IN,1674067029
510,ndele,8.4109,20.6473,26.32,20,7,1.56,CF,1674067030
